<<INFO>> 2021-04-17 --- 12:56:07.904465 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 12:57:10.029508 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 12:58:33.596989 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:03:47.283303 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:04:18.098592 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:04:18.138465 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 13:10:11.785885 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:10:11.826273 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 13:10:40.587841 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:40.621818 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:41.592895 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:41.628869 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:42.594190 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:42.626890 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:42.928524 >>>> Close Window Plot
<<INFO>> 2021-04-18 --- 09:27:32.308244 >>>> ***Plot UI Start***
<<INFO>> 2021-04-18 --- 09:27:32.382200 >>>> Get Process Runing List
<<INFO>> 2021-04-18 --- 09:27:38.924267 >>>> After Colorize the process List
<<INFO>> 2021-04-18 --- 09:27:42.444855 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.456840 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.465041 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.475041 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.482285 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.490130 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.495690 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.503375 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.509174 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.516923 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.522388 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.530300 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.536652 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.544651 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.549650 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.557645 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.563639 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.570637 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.576633 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.585625 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:42.595622 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:42.604616 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:43.615513 >>>> Get Cpu Percent Pid 2512
512
<<INFO>> 2021-04-18 --- 09:27:44.614532 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:44.614532 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:45.622285 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:45.622285 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:46.631324 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:46.632323 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:47.642248 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:47.642248 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:48.644273 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:48.644273 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:49.648735 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:49.648735 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:50.660250 >>>> Get Cpu Percent Pid 2512
512
<<INFO>> 2021-04-18 --- 09:27:51.674866 >>>> Get Cpu Percent Pid 2512
<<INFO>> 2021-04-18 --- 09:27:51.674866 >>>> Get Memory Percent Pid-- 2512
<<INFO>> 2021-04-18 --- 09:27:51.928277 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:51.945266 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:51.958258 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:51.967321 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:51.973746 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:51.982257 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:51.988601 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:51.996610 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:52.001151 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:52.011183 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:52.016196 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:52.024192 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:52.030188 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:52.037183 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:52.043180 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:52.051173 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:52.056172 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:52.064167 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:52.069164 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:52.077159 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:52.089151 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:52.098808 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:53.101153 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:53.123137 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:54.111263 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:54.128252 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:55.114022 >>>> Get Memory Percent Pid-- 8292
<<INFO>> 2021-04-18 --- 09:27:55.130457 >>>> Get Cpu Percent Pid 8292
<<INFO>> 2021-04-18 --- 09:27:55.234103 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.251092 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.258089 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.276077 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.283073 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.300062 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.307058 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.324047 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.331043 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.348033 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.354029 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.371019 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.378014 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.394004 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.401003 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.434981 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.442976 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.457967 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.463963 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.478954 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:55.492945 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:55.508935 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:56.506063 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:56.532047 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:57.508598 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:57.533200 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:58.512459 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:58.546434 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:27:59.518409 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:27:59.542568 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:00.531765 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:00.560745 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:01.541517 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:01.568369 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:02.544862 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:02.577837 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:03.550750 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:03.582665 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:04.562900 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:04.621855 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:05.567066 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:05.627945 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:06.580310 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:06.636972 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:07.583370 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:07.646862 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:08.592113 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:08.657072 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:09.136650 >>>> Get Process Runing List
<<INFO>> 2021-04-18 --- 09:28:09.599393 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:09.661296 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:10.608889 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:10.667476 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:11.610728 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:11.670097 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:12.627326 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:12.683784 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:13.637216 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:13.695493 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:14.642414 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:14.701239 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:15.650929 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:15.711184 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:16.664117 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:16.720686 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:17.671156 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:17.733241 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:18.678506 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:18.735477 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:19.679282 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:19.758294 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:20.680699 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:20.760021 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:21.697856 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:21.770476 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:22.704480 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:22.775001 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:23.713916 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:23.790149 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:24.714791 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:24.791995 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:25.721880 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:25.801062 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:26.731049 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:26.807934 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:27.731500 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:27.809421 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:28.751967 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:28.821964 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:29.762012 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:29.832163 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:30.777098 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:30.834092 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:31.791018 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:31.854810 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:32.800277 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:32.858357 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:33.806640 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:33.863500 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:34.814902 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:34.871309 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:35.829983 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:35.882040 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:36.842472 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:36.896231 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:37.850917 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:37.910184 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:38.853344 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:38.915055 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:39.861347 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:39.924631 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:40.863956 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:40.932157 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:41.874066 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:41.938394 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:42.882821 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:42.933689 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:43.881873 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:43.937041 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:44.878653 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:44.939929 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:45.896974 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:45.952809 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:46.906567 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:46.962858 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:47.909638 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:47.964115 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:48.909267 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:48.970230 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:49.923145 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:49.981758 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:50.930917 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:50.987767 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:51.941786 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:52.005112 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:52.949758 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:53.003685 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:53.964581 >>>> Get Memory Percent Pid-- 10444
<<INFO>> 2021-04-18 --- 09:28:54.025884 >>>> Get Cpu Percent Pid 10444
<<INFO>> 2021-04-18 --- 09:28:54.966856 >>>> Get Memory Percent Pid-- 10444
