<<INFO>> 2021-04-17 --- 11:43:10.098425 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 11:43:10.142736 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 11:43:14.113336 >>>> Can not find Any Process with name firefox
<<INFO>> 2021-04-17 --- 11:43:14.124907 >>>> We Have exception in find Process firefox
<<INFO>> 2021-04-17 --- 11:43:34.383665 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 11:43:34.425832 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 11:45:14.344589 >>>> After Colorize the process List
<<INFO>> 2021-04-17 --- 11:45:18.266617 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.275612 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.281617 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.291602 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.297599 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.307593 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.313588 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.324582 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.330578 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.340571 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.347566 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.356562 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.363558 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.373551 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.379883 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.389882 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.396877 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.410868 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.418864 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.429857 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:18.443847 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:18.455839 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:19.444411 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:19.458402 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:20.447150 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:20.463140 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:21.460622 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:21.481611 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:22.461936 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:22.478099 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:23.483636 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:23.504623 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:24.494715 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:24.516706 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:25.503590 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:25.535571 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:26.506103 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:26.555663 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:27.514484 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:27.561706 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:28.528243 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:28.571400 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:29.533362 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:29.575273 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:30.546595 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:30.592801 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:31.551495 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:31.599011 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:32.560260 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:32.607263 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:33.577564 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:33.610589 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:34.578509 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:34.610474 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:35.579604 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:35.605145 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:36.577941 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:36.610068 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:37.593241 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:37.624405 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:38.601437 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:38.632433 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:39.612435 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:39.643906 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:40.619193 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:40.642103 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:41.537608 >>>> After Colorize the process List
<<INFO>> 2021-04-17 --- 11:45:41.626167 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:41.656365 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:42.630515 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:42.658499 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:43.630100 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:43.660637 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:44.636648 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:44.662324 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:45.646213 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:45.678205 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:46.655649 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:46.686533 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:47.666954 >>>> Get Memory Percent Pid-- 4460
<<INFO>> 2021-04-17 --- 11:45:47.687958 >>>> Get Cpu Percent Pid 4460
<<INFO>> 2021-04-17 --- 11:45:48.243448 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.255440 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.266630 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.287622 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.305612 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.321222 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.332847 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.343084 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.353043 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.364951 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.374002 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.383059 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.394279 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.403139 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.412124 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.423626 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.432637 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.441631 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.453622 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.462619 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.471616 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.483606 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.492598 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.501595 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.513587 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.522582 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.531576 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:45:48.545574 >>>> Get Memory Percent Pid-- 5060
<<INFO>> 2021-04-17 --- 11:45:48.555561 >>>> We have Exception in Get Memory Percent function
<<INFO>> 2021-04-17 --- 11:45:48.566555 >>>> Get Cpu Percent Pid 5060
<<INFO>> 2021-04-17 --- 11:46:51.419520 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 11:46:51.458342 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 11:46:55.624226 >>>> After Colorize the process List
<<INFO>> 2021-04-17 --- 11:46:57.745347 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.766982 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.776232 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.787665 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.795666 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.805659 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.813052 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.823454 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.831146 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.841400 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.848403 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.857395 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.863392 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.871389 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.877385 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.885380 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.891377 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.899372 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.905368 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.915359 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:57.928353 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:57.939346 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:58.948003 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:46:58.948003 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:59.948144 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:46:59.948144 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:00.959773 >>>> Get Cpu Percent Pid 2824
824
<<INFO>> 2021-04-17 --- 11:47:01.976040 >>>> Get Cpu Percent Pid 2824
824
<<INFO>> 2021-04-17 --- 11:47:02.974574 >>>> Get Cpu Percent Pid 2824
824
<<INFO>> 2021-04-17 --- 11:47:03.979634 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:03.979634 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.205037 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.224024 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.238158 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.252062 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.259095 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.268633 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.275632 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.284360 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.290361 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.298335 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.305090 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.313286 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.319208 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.327070 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.332071 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.340066 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.346063 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.354056 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.359055 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.367050 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:04.377044 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:04.386038 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:05.390032 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:05.410508 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:06.391049 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:06.409040 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:07.400289 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:07.418275 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:08.411696 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:08.430681 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:09.416227 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:09.436210 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:10.422128 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:10.441117 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:11.426020 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:11.448006 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:12.427046 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:12.444034 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:13.441165 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:13.454156 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:14.444893 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:14.463876 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:15.461249 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:15.481240 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:16.462207 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:16.489186 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:17.465584 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:47:17.498565 >>>> Get Cpu Percent Pid 2824
<<INFO>> 2021-04-17 --- 11:47:18.364223 >>>> Get Memory Percent Pid-- 15444
<<INFO>> 2021-04-17 --- 11:47:18.383211 >>>> Get Cpu Percent Pid 15444
<<INFO>> 2021-04-17 --- 11:47:18.395198 >>>> Get Memory Percent Pid-- 15444
<<INFO>> 2021-04-17 --- 11:47:18.404194 >>>> Get Cpu Percent Pid 15444
<<INFO>> 2021-04-17 --- 11:47:18.411190 >>>> Get Memory Percent Pid-- 15444
<<INFO>> 2021-04-17 --- 11:47:18.421184 >>>> Get Cpu Percent Pid 15444
<<INFO>> 2021-04-17 --- 11:47:18.427180 >>>> Get Memory Percent Pid-- 15444
<<INFO>> 2021-04-17 --- 11:47:18.436174 >>>> Get Cpu Percent Pid 15444
<<INFO>> 2021-04-17 --- 11:47:18.442171 >>>> Get Memory Percent Pid-- 15444
<<INFO>> 2021-04-17 --- 11:47:18.450166 >>>> Get Cpu Percent Pid 15444
<<INFO>> 2021-04-17 --- 11:47:18.457161 >>>> Get Memory Percent Pid-- 15444
<<INFO>> 2021-04-17 --- 11:47:18.466153 >>>> Get Cpu Percent Pid 15444
<<INFO>> 2021-04-17 --- 11:47:18.472152 >>>> Get Memory Percent Pid-- 15444
<<INFO>> 2021-04-17 --- 11:47:18.481147 >>>> Get Cpu Percent Pid 15444
