2021-03-06 22:27:18,273---INFO---
Image Name                     PID Session Name        Session#    Mem Usage
explorer.exe                  5644 Console                    1    246,636 K
igfxEM.exe                    5748 Console                    1     14,880 K
igfxHK.exe                    5816 Console                    1     11,260 K
igfxTray.exe                  5836 Console                    1     16,028 K
svchost.exe                   5876 Services                   0     16,760 K
svchost.exe                   5960 Services                   0      8,060 K
svchost.exe                   6120 Console                    1     22,904 K
svchost.exe                   6148 Services                   0      7,752 K
svchost.exe                   6232 Services                   0      9,164 K
StartMenuExperienceHost.e     6556 Console                    1     62,984 K
RuntimeBroker.exe             6716 Console                    1     22,888 K
SearchApp.exe                 6824 Console                    1    199,748 K
RuntimeBroker.exe             7076 Console                    1     50,252 K
dllhost.exe                   6288 Console                    1     11,964 K
SkypeBackgroundHost.exe       6616 Console                    1     11,396 K
SearchIndexer.exe             6956 Services                   0     47,788 K
SettingSyncHost.exe           7308 Console                    1      9,044 K
LockApp.exe                   7464 Console                    1     41,692 K
RuntimeBroker.exe             7568 Console                    1     28,464 K
RuntimeBroker.exe             7768 Console                    1     18,748 K
svchost.exe                   7824 Services                   0     10,384 K
hsscp.exe                     8128 Console                    1    105,292 K
TextInputHost.exe             7388 Console                    1     38,732 K
nvtray.exe                     432 Console                    1     14,388 K
SecurityHealthSystray.exe     8240 Console                    1      8,892 K
SecurityHealthService.exe     8276 Services                   0     12,900 K
OneDrive.exe                  8384 Console                    1     55,880 K
GoogleCrashHandler.exe        8532 Services                   0      1,504 K
GoogleCrashHandler64.exe      8596 Services                   0      1,088 K
svchost.exe                   8708 Services                   0      7,116 K
ShellExperienceHost.exe       4748 Console                    1     58,052 K
RuntimeBroker.exe             7000 Console                    1     26,192 K
taskhostw.exe                 3456 Console                    1     20,408 K
svchost.exe                   8028 Services                   0      5,332 K
SkypeApp.exe                   908 Console                    1      8,656 K
svchost.exe                   4488 Console                    1     20,408 K
firefox.exe                    956 Console                    1    412,824 K
svchost.exe                   8412 Services                   0     13,408 K
firefox.exe                   1272 Console                    1    296,440 K
RuntimeBroker.exe             2980 Console                    1     25,404 K
firefox.exe                   3444 Console                    1     92,156 K
firefox.exe                   4056 Console                    1    210,600 K
firefox.exe                   9220 Console                    1     94,452 K
firefox.exe                  10204 Console                    1    185,220 K
svchost.exe                   9860 Services                   0     17,044 K
dllhost.exe                   4492 Console                    1     12,392 K
SgrmBroker.exe                9960 Services                   0      7,508 K
svchost.exe                   6704 Services                   0     20,596 K
MoUsoCoreWorker.exe           6964 Services                   0     32,484 K
svchost.exe                   6072 Services                   0     10,840 K
svchost.exe                  10024 Services                   0     27,896 K
ApplicationFrameHost.exe      4836 Console                    1     40,432 K
WinStore.App.exe              8524 Console                    1      1,900 K
RuntimeBroker.exe             5024 Console                    1      8,976 K
Video.UI.exe                  6868 Console                    1      2,896 K
RuntimeBroker.exe             9880 Console                    1      9,104 K
SystemSettings.exe            9156 Console                    1      2,008 K
Music.UI.exe                 10364 Console                    1      1,900 K
svchost.exe                  10664 Services                   0     16,040 K
svchost.exe                  11632 Services                   0     18,848 K
UserOOBEBroker.exe            9536 Console                    1      8,916 K
firefox.exe                  11992 Console                    1    214,240 K
Microsoft.Photos.exe          5264 Console                    1     17,612 K
RuntimeBroker.exe            11736 Console                    1     33,756 K
MsMpEng.exe                  11080 Services                   0    178,300 K
NisSrv.exe                    7732 Services                   0      9,876 K
firefox.exe                   2144 Console                    1    203,512 K
firefox.exe                   8188 Console                    1    199,752 K
designer.exe                 11392 Console                    1     83,360 K
FileCoAuth.exe                3476 Console                    1     21,860 K
firefox.exe                   5140 Console                    1    262,328 K
Cortana.exe                   2736 Console                    1     73,908 K
RuntimeBroker.exe             4764 Console                    1     27,060 K
svchost.exe                   9344 Console                    1     19,432 K
svchost.exe                   9340 Services                   0     11,792 K
Taskmgr.exe                   6136 Console                    1     56,124 K
firefox.exe                  11344 Console                    1    206,128 K
CompPkgSrv.exe               10752 Console                    1      8,496 K
firefox.exe                   5284 Console                    1    245,200 K
svchost.exe                   2300 Services                   0      5,960 K
dllhost.exe                   7684 Console                    1      7,412 K
Telegram.exe                  5052 Console                    1     97,300 K
svchost.exe                   4808 Services                   0      9,236 K
HxOutlook.exe                 5736 Console                    1      7,792 K
RuntimeBroker.exe             9552 Console                    1     20,496 K
HxTsr.exe                    10864 Console                    1     23,720 K
HxAccounts.exe                 888 Console                    1     53,908 K
SearchProtocolHost.exe        7396 Services                   0     15,648 K
svchost.exe                  12352 Services                   0      6,232 K
SearchProtocolHost.exe        9036 Console                    1      8,636 K
audiodg.exe                  11340 Services                   0     11,808 K
smartscreen.exe              10000 Console                    1     23,224 K
Code.exe                     10480 Console                    1     73,592 K
Code.exe                      2112 Console                    1     23,872 K
Code.exe                     10972 Console                    1    186,348 K
Code.exe                     10996 Console                    1     37,404 K
Code.exe                      5932 Console                    1    172,772 K
Code.exe                     13044 Console                    1    127,504 K
Code.exe                      6412 Console                    1     85,696 K
Code.exe                     11524 Console                    1     69,476 K
Code.exe                     10584 Console                    1     70,136 K
conhost.exe                   7272 Console                    1      6,040 K
powershell.exe                7020 Console                    1     68,396 K
python.exe                   12732 Console                    1    396,272 K
conhost.exe                  12692 Console                    1     10,892 K
python.exe                    1012 Console                    1     68,052 K
conhost.exe                   7760 Console                    1     10,908 K
conhost.exe                  12684 Console                    1      6,332 K
powershell.exe                3744 Console                    1     70,476 K
SearchFilterHost.exe          5660 Services                   0      7,400 K
python.exe                   12540 Console                    1     32,520 K
tasklist.exe                 12948 Console                    1      9,044 K
WmiPrvSE.exe                  1356 Services                   0      9,480 K

